% Model:              g01-compact.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 16 2019, 21:21
% Dimension:          3
% Nodes:              6154
% Expressions:        1
% Description:        Surface
% x                       y                        z                        Color
-0.4344396786869009       -0.24751195038305177     -0.4214428324217021      0.5948739465855909
-0.44069787816876255      -0.23618928887134258     -0.39666180717438093     0.6141654374553762
-0.4479621234218002       -0.22210343531659266     -0.4232483680509135      0.6118264666169403
-0.426820077253944        -0.2604316064784328      -0.3938401719047442      0.5964007202147104
-0.4802723386840725       -0.13906286598129483     -0.4045106515375135      0.6637749807327482
-0.4860635043814636       -0.11722742728734979     -0.42357835859760706     0.6617657841713401
-0.4776222987006038       -0.14790855209875858     -0.4267483801256208      0.6489326467801921
-0.4703161602611425       -0.1697136099351355      -0.4242613938440659      0.6407795570693547
-0.46029391375117773      -0.19526779807132397     -0.42468580395092487     0.6272951280445269
-0.4654665724059724       -0.18259482460528745     -0.39953667897440376     0.6462935952997797
-0.47337012985913696      -0.1609991309204612      -0.4020236652559586      0.6557255170888568
-0.453873985288146        -0.2097579688084718      -0.3980992430743924      0.6313411039354155
-0.4555823361295027       -0.20602120038186555     -0.3577092635113309      0.6483627487651287
-0.4606733894519021       -0.194370852369629       -0.37862297124286737     0.648187257145602
-0.44839389383265843      -0.2212304589643719      -0.3771855353428559      0.6319725558972453
-0.4363586230270107       -0.24411299045722903     -0.3663253768814876      0.6191749642671049
-0.4220450922895714       -0.26810061557983633     -0.3635037416118508      0.6002840967355358
-0.431876915676938        -0.2519569997149811      -0.3359889465885942      0.6218055028692991
-0.44432364929103757      -0.22929564906621114     -0.3468491050499626      0.6361086049558957
-0.4136545985408662       -0.28087341117662734     -0.3382010448402064      0.595629374604202
-0.3198707289253223       -0.3842950907529043      -0.36666007340336576     0.4559157297538299
-0.2959171854205287       -0.4030297996089029      -0.3679546384032611      0.4216530997053548
-0.3078762857978767       -0.39396978645995706     -0.3408724155479724      0.444430308940653
-0.2831356105459844       -0.4121094830754961      -0.34178554196803546     0.4086744631338848
-0.2833951649095942       -0.4119310385317716      -0.289887107107821       0.41713896207718953
-0.2957720976519356       -0.40313628743958774     -0.3153797613278967      0.4314778807161093
-0.27049204802959953      -0.42051641103856197     -0.3162928877479597      0.39457587063849453
-0.24060485375190446      -0.4383027542133687      -0.2916605861540084      0.3540610902446345
-0.2623316064379406       -0.4256549403727031      -0.2907738466309147      0.38609319301707157
-0.2490132637045582       -0.43358089729507704     -0.3171796272710534      0.3631612755776102
-0.34271371541214035      -0.3640704729422677      -0.3655596659364727      0.488513839469382
-0.3535533905932737       -0.35355339059327384     -0.3386716006141862      0.510323674509629
-0.36407047294226763      -0.3427137154121404      -0.36555966593647266     0.5186237605712964
-0.3742057012974349       -0.33161738964730864     -0.3395423718530024      0.5395264775301709
-0.3313316698814626       -0.3744587087164104      -0.3397720080810793      0.4782818423029258
-0.3293386230283158       -0.37621280066182344     -0.2882162708572292      0.4846523239210078
-0.34163392364225326      -0.36508391119960226     -0.3134439357357077      0.49829078304819274
-0.3187311369222529       -0.3852407849076316      -0.3145443432026008      0.4649414065984044
-0.30688698546748183      -0.3947409000226371      -0.2890516889825251      0.45167324233371997
-0.2944333863721091       -0.40411505909759454     -0.26075011439347895     0.43700378698706954
-0.3052561628376464       -0.3960033775735206      -0.2316131216791369      0.4561936950499392
-0.3174516534776455       -0.3862958033739286      -0.25991469626818303     0.47107510489675414
